game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2221751,431,1,,Lutz Göttling,60,2,,Christian Streich,Home,0
2221755,83,3,,Ralph Hasenhüttl,4795,0,,Tomas Oral,Home,1
2222597,3725,2,2,Stanislav Cherchesov,232,1,5,Unai Emery,Home,1
2222627,2696,0,11,Andrey Kobelev,4128,2,10,Rustem Khuzin,Home,0
2222658,2410,0,2,Leonid Slutski,121,2,13,Dan Petrescu,Home,0
2222664,932,1,5,Slaven Bilic,2698,0,8,Kurban Berdyev,Home,1
2222683,2696,0,11,Andrey Kobelev,12438,1,16,Gadzhi Gadzhiev,Home,0
2222685,2698,0,7,Kurban Berdyev,232,1,5,Valeriy Karpin,Home,0
2222709,3725,2,5,Stanislav Cherchesov,11126,1,16,Fedor Shcherbachenko,Home,1
2222734,1083,2,11,Miodrag Bozovic,16704,3,10,Slavoljub Muslin,Home,0
2222735,2700,2,1,Guus Hiddink,2410,0,2,Leonid Slutski,Home,1
2222739,16704,4,8,Slavoljub Muslin,2700,0,3,Guus Hiddink,Home,1
2222775,3725,1,8,Stanislav Cherchesov,2700,0,3,Guus Hiddink,Home,1
2222786,932,2,9,Slaven Bilic,11126,1,15,Dorinel Munteanu,Home,1
2222802,2700,3,3,Guus Hiddink,121,3,7,Dan Petrescu,Home,0
2222816,16704,2,8,Slavoljub Muslin,12438,0,13,Yuriy Kalitvintsev,Home,1
2222958,6414,2,3,Myron Markevych,6993,0,13,Mykola Pavlov,Home,1
2222988,660,4,1,Mircea Lucescu,2740,1,14,Vadym Yevtushenko,Home,1
2223000,6992,1,10,Roman Grygorchuk,660,5,1,Mircea Lucescu,Home,0
2223015,6996,2,15,Oleksandr Sevidov,2227,1,14,Oleg Luzhnyi,Home,1
2223018,6996,1,15,Oleksandr Sevidov,3592,1,12,Oleg Taran,Home,0
2223019,2227,1,14,Oleg Luzhnyi,9007,1,6,Leonid Kuchuk,Home,0
2223025,6414,4,4,Myron Markevych,2740,0,13,Sergiy Svystun,Home,1
2223041,6994,0,16,Vitaliy Kvartsyanyi,4482,3,8,Anatoliy Demyanenko,Home,0
2223051,2740,5,10,Sergiy Svystun,6994,0,16,Vitaliy Kvartsyanyi,Home,1
2223056,3592,1,11,Oleg Taran,9007,1,5,Leonid Kuchuk,Home,0
2223060,339,3,2,Juande Ramos,6994,0,16,Vitaliy Kvartsyanyi,Home,1
2223083,339,2,2,Juande Ramos,6414,0,4,Myron Markevych,Home,1
2223096,660,2,1,Mircea Lucescu,6994,0,16,Vitaliy Kvartsyanyi,Home,1
2223111,2227,4,10,Oleg Luzhnyi,2783,3,9,Yuriy Maksymov,Home,1
2223132,2783,2,5,Yuriy Maksymov,6996,1,15,Oleksandr Sevidov,Home,1
2223137,6996,2,15,Oleksandr Sevidov,6994,0,16,Sergiy Zaytsev,Home,1
2223157,2227,0,10,Oleg Luzhnyi,6996,2,15,Oleksandr Sevidov,Home,0
2223162,2740,3,12,Sergiy Svystun,6996,0,15,Oleksandr Sevidov,Home,1
2223182,6994,0,16,Sergiy Zaytsev,2740,4,12,Sergiy Svystun,Home,0
2223859,1082,2,10,Rudi Garcia,1147,0,14,Alex Dupont,Home,1
2223876,1159,0,17,Jean Fernandez,244,1,1,Élie Baup,Home,0
2223890,1082,1,11,Rudi Garcia,583,2,8,Carlo Ancelotti,Home,0
2223894,583,1,1,Carlo Ancelotti,1041,0,2,Rémi Garde,Home,1
2223902,273,2,9,Frédéric Antonetti,969,1,16,René Girard,Home,1
2223905,40,1,6,Francis Gillot,1082,1,11,Rudi Garcia,Home,0
2223921,595,3,11,Frédéric Hantz,40,1,8,Francis Gillot,Home,1
2223922,1421,1,7,Hubert Fournier,1095,1,19,Jean-Marc Furlan,Home,0
2223924,969,3,13,René Girard,417,1,17,Claude Puel,Home,1
2223940,14171,2,18,Pascal Dupraz,618,2,5,Christophe Galtier,Home,0
